1;0.134
2;0.014
3;0.094
4;0.062
5;0.284
6;0.082
7;0.058
8;0.041
9;0.058
10;0.129
11;0.078
12;0.022
13;0.091
14;0.156
15;0.275
16;0.29
17;0.117
18;0.185
19;0.073
20;0.162
21;0.093
22;0.279
23;0.073
24;0.132
25;0.145
26;0.188
27;0.046
28;0.242
29;0.187
30;0.043
31;0.168
32;0.061
33;0.161
34;0.112
35;0.027
36;0.05
37;0.211
38;0.278
39;0.331
40;0.228
41;0.046
42;0.096
43;0.287
44;0.4
45;0.073
46;0.079
47;0.126
48;0.085
49;0.106
50;0.095
51;0.435
52;0.027
53;0.203
54;0.298
55;0.043
56;0.085
57;0.344
58;0.31
59;0.2
60;0.12
61;0.234
62;0.297
63;0.13
64;0.126
65;0.269
66;0.242
67;0.112
68;0.128
69;0.124
70;0.122
71;0.056
72;0.109
73;0.102
74;0.018
75;0.112
76;0.033
77;0.156
78;0.189
79;0.193
80;0.116
81;0.088
82;0.207
83;0.148
84;0.151
85;0.095
86;0.203
87;0.127
88;0.052
89;0.078
90;0.12
91;0.304
92;0.396
94;0.36
95;0.02
96;0.045
97;0.045
98;0.046
99;0.031
100;0.036
