1;0.105
2;0.008
3;0.057
4;0.043
5;0.277
6;0.054
7;0.035
8;0.021
9;0.057
10;0.07
11;0.072
12;0.015
13;0.049
14;0.109
15;0.309
16;0.25
17;0.093
18;0.14
19;0.047
20;0.104
21;0.056
22;0.298
23;0.04
24;0.185
25;0.085
26;0.241
27;0.026
28;0.163
29;0.102
30;0.022
31;0.109
32;0.046
33;0.133
34;0.077
35;0.016
36;0.033
37;0.16
38;0.118
39;0.206
40;0.142
41;0.024
42;0.081
43;0.237
44;0.462
45;0.06
46;0.053
47;0.071
48;0.044
49;0.059
50;0.078
51;0.291
52;0.014
53;0.156
54;0.21
55;0.011
56;0.041
57;0.241
58;0.202
59;0.133
60;0.078
61;0.154
62;0.216
63;0.092
64;0.078
65;0.195
66;0.167
67;0.064
68;0.056
69;0.14
70;0.069
71;0.037
72;0.06
73;0.135
74;0.012
75;0.061
76;0.021
77;0.159
78;0.152
79;0.117
80;0.072
81;0.067
82;0.102
83;0.093
84;0.092
85;0.057
86;0.123
87;0.073
88;0.029
89;0.068
90;0.114
91;0.296
92;0.558
94;0.31
95;0.012
96;0.033
97;0.031
98;0.026
99;0.042
100;0.02
