1;0.794
2;0.571
3;0.744
4;1.0
5;0.565
6;0.708
7;0.643
8;0.455
9;0.8
10;0.76
11;0.773
12;0.714
13;0.833
14;0.691
15;0.481
16;0.556
17;0.618
18;0.714
19;0.818
20;0.804
21;0.68
22;0.586
23;0.571
24;0.645
25;0.784
26;0.636
27;0.636
28;0.569
29;0.614
30;0.765
31;0.621
32;0.467
33;0.825
34;0.821
35;0.643
36;0.778
37;0.786
38;0.604
39;0.704
40;0.555
41;0.867
42;0.574
43;0.735
44;0.779
45;0.75
46;0.722
47;0.667
48;0.8
49;0.778
50;0.8
51;0.635
52;1.0
53;0.913
54;0.871
55;0.542
56;0.531
57;0.941
58;0.758
59;0.552
60;0.647
61;0.714
62;0.604
63;0.59
64;0.62
65;0.723
66;0.667
67;0.714
68;0.622
69;0.6
70;0.765
71;0.667
72;0.923
73;0.722
74;0.714
75;0.857
76;0.529
77;0.439
78;0.701
79;0.721
80;0.765
81;0.679
82;0.758
83;0.844
84;0.813
85;0.71
86;0.83
87;0.711
88;0.571
89;0.824
90;0.893
91;0.438
92;0.551
94;0.744
95;0.444
96;0.667
97;0.909
98;0.667
99;0.8
100;0.455
